Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,Gene_ID,Identifier,Strand,Distance
2L,1393000,1394000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,12144
2L,1396000,1397000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,15144
2L,1401000,1402000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,20144
2L,1411000,1412000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,30144
2L,1417000,1418000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,36144
2L,1425000,1426000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,44144
2L,1434000,1435000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,53144
2L,1452000,1453000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,71144
2L,1456000,1457000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,75144
2L,1459000,1460000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,78144
2L,1470000,1471000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,89144
2L,1472000,1473000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,91144
2L,1493446,1494446,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,112590
2L,1495000,1496000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,114144
2L,1498000,1499000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,117144
2L,1512000,1513000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,131144
2L,1514000,1515000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,133144
2L,1516000,1517000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,135144
2L,1520232,1521232,0.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,139376
2L,1533000,1534000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,152144
2L,1544757,1545757,1.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,163901
2L,1547000,1548000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,166144
2L,1550000,1551000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,169144
2L,1566000,1567000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,185144
2L,1569000,1570000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,188144
2L,1580000,1581000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,199144
2L,1588000,1589000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,207144
2L,1594000,1595000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,213144
2L,1611000,1612000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,230144
2L,1628000,1629000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,247144
2L,1636760,1637760,1.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,255904
2L,1640633,1641633,1.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,259777
2L,1649506,1650506,0.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,268650
2L,1655943,1656943,1.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,275087
2L,1669844,1670844,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,288988
2L,1671000,1672000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,290144
2L,1693000,1694000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,312144
2L,1712970,1713970,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,332114
2L,1714000,1715000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,333144
2L,1720000,1721000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,339144
2L,1723000,1724000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,342144
2L,1726000,1727000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,345144
2L,1730000,1731000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,349144
2L,1740320,1741320,0.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,359464
2L,1742324,1743324,0.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,361468
2L,1743745,1744745,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,362889
2L,1751737,1752737,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,370881
2L,1755000,1756000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,374144
2L,1767000,1768000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,386144
2L,1769000,1770000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,388144
2L,1785121,1786121,0.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,404265
2L,1787263,1788263,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,406407
2L,1803000,1804000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,422144
2L,1809000,1810000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,428144
2L,1812000,1813000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,431144
2L,1820620,1821620,1.0,1.0,2L,1380150,1380857,FBgn0263321,GD28002,+,439764
2L,1823000,1824000,0.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,442144
2L,1825018,1826018,1.0,0.0,2L,1380150,1380857,FBgn0263321,GD28002,+,444162
2L,1836757,1837757,1.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-445203
2L,1841496,1842496,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-440464
2L,1851000,1852000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-430960
2L,1864000,1865000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-417960
2L,1865192,1866192,1.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-416768
2L,1871000,1872000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-410960
2L,1872000,1873000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-409960
2L,1880000,1881000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-401960
2L,1896000,1897000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-385960
2L,1922637,1923637,0.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-359323
2L,1943000,1944000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-338960
2L,1945000,1946000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-336960
2L,1947697,1948697,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-334263
2L,1963000,1964000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-318960
2L,1975000,1976000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-306960
2L,1982000,1983000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-299960
2L,2018000,2019000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-263960
2L,2019000,2020000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-262960
2L,2055526,2056526,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-226434
2L,2071347,2072347,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-210613
2L,2082000,2083000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-199960
2L,2085299,2086299,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-196661
2L,2096023,2097023,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-185937
2L,2109833,2110833,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-172127
2L,2114531,2115531,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-167429
2L,2121213,2122213,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-160747
2L,2122000,2123000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-159960
2L,2123000,2124000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-158960
2L,2124000,2125000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-157960
2L,2133000,2134000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-148960
2L,2135508,2136508,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-146452
2L,2157000,2158000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-124960
2L,2185000,2186000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-96960
2L,2189000,2190000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-92960
2L,2193000,2194000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-88960
2L,2196000,2197000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-85960
2L,2221000,2222000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-60960
2L,2224000,2225000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-57960
2L,2234135,2235135,0.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-47825
2L,2237577,2238577,1.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-44383
2L,2239000,2240000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-42960
2L,2245000,2246000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-36960
2L,2259824,2260824,0.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-22136
2L,2263000,2264000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-18960
2L,2274215,2275215,0.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-7745
2L,2275743,2276743,1.0,1.0,2L,2282959,2283860,FBgn0264081,GD28400,-,-6217
2L,2283000,2284000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,0
2L,2289000,2290000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,5141
2L,2291000,2292000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,7141
2L,2300000,2301000,0.0,0.0,2L,2282959,2283860,FBgn0264081,GD28400,-,16141
2L,2306000,2307000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,-10701
2L,2308000,2309000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,-8701
2L,2311000,2312000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,-5701
2L,2326621,2327621,1.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,8517
2L,2327460,2328460,1.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,9356
2L,2329000,2330000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,10896
2L,2339000,2340000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,20896
2L,2343781,2344781,1.0,1.0,2L,2317700,2318105,FBgn0264988,GD28814,+,25677
2L,2346000,2347000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,27896
2L,2350787,2351787,0.0,1.0,2L,2317700,2318105,FBgn0264988,GD28814,+,32683
2L,2366000,2367000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,47896
2L,2369000,2370000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,50896
2L,2380000,2381000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,61896
2L,2382000,2383000,0.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,63896
2L,2412245,2413245,1.0,0.0,2L,2317700,2318105,FBgn0264988,GD28814,+,94141
