Peak_chr	Peak_Start	Peak_End	label_head	label_testis	Gene_chr	Gene_Start	Gene_End	Gene_ID	Gene_Symbol	Transcript_ID	Transcript_Symbol	signed_distance
2L	114217	115217	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	120623	121623	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	120623	121623	1.0	1.0	2L	116970	121754	FBgn0031220	CG4822	FBtr0078156	CG4822-RA	0
2L	125558	126558	0.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	125558	126558	0.0	1.0	2L	122624	130791	FBgn0288229	CG3164	FBtr0078154	CG3164-RB	0
2L	128554	129554	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	128554	129554	1.0	1.0	2L	122624	130791	FBgn0288229	CG3164	FBtr0078154	CG3164-RB	0
2L	130299	131299	0.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	130299	131299	0.0	1.0	2L	122624	130791	FBgn0288229	CG3164	FBtr0078154	CG3164-RB	0
2L	131422	132422	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	131422	132422	1.0	1.0	2L	132077	134472	FBgn0001142	Gs1	FBtr0078115	Gs1-RC	0
2L	134174	135174	1.0	0.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	134174	135174	1.0	0.0	2L	132077	134472	FBgn0001142	Gs1	FBtr0078115	Gs1-RC	0
2L	137860	138860	1.0	0.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	137860	138860	1.0	0.0	2L	138384	140992	FBgn0051976	ovm	FBtr0346127	ovm-RC	0
2L	137860	138860	1.0	0.0	2L	138384	140992	FBgn0051975	CG31975	FBtr0302195	CG31975-RB	0
2L	142629	143629	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	142629	143629	1.0	1.0	2L	141077	143091	FBgn0051974	CG31974	FBtr0300987	CG31974-RB	0
2L	142629	143629	1.0	1.0	2L	143323	144227	FBgn0031224	CG11454	FBtr0078116	CG11454-RA	0
2L	152642	153642	0.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	152642	153642	0.0	1.0	2L	144231	153300	FBgn0259818	CG42399	FBtr0301929	CG42399-RB	0
2L	152642	153642	0.0	1.0	2L	153539	155305	FBgn0031227	CG3709	FBtr0078147	CG3709-RA	0
2L	155031	156031	1.0	1.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	155031	156031	1.0	1.0	2L	153539	155305	FBgn0031227	CG3709	FBtr0078147	CG3709-RA	0
2L	155031	156031	1.0	1.0	2L	156029	157666	FBgn0031229	CG3436	FBtr0078119	CG3436-RA	0
2L	155644	156644	1.0	0.0	2L	114726	156030	FBgn0031228	ND-15	FBtr0078117	ND-15-RA	0
2L	155644	156644	1.0	0.0	2L	156029	157666	FBgn0031229	CG3436	FBtr0078119	CG3436-RA	0
2L	158500	159500	1.0	1.0	2L	157836	158664	FBgn0053635	CG33635	FBtr0091612	CG33635-RA	0
2L	158500	159500	1.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	160854	161854	1.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	166228	167228	1.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	168100	169100	1.0	0.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	178706	179706	0.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	180876	181876	0.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	182501	183501	1.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	203301	204301	1.0	1.0	2L	159032	203397	FBgn0016977	spen	FBtr0078122	spen-RA	0
2L	203301	204301	1.0	1.0	2L	203779	204782	FBgn0031231	mRpL10	FBtr0078124	mRpL10-RA	0
2L	206966	207966	1.0	1.0	2L	204743	207297	FBgn0031232	CG11617	FBtr0078146	CG11617-RA	0
2L	206966	207966	1.0	1.0	2L	207179	210725	FBgn0031233	Tbc1d15-17	FBtr0078125	Tbc1d15-17-RA	0
2L	219173	220173	0.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	219173	220173	0.0	1.0	2L	219651	220050	FBgn0265151	lncRNA:CR44220	FBtr0336984	lncRNA:CR44220-RA	0
2L	220142	221142	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	221713	222713	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	222538	223538	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	222538	223538	1.0	1.0	2L	223519	224708	FBgn0265153	lncRNA:CR44222	FBtr0336985	lncRNA:CR44222-RA	0
2L	223870	224870	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	223870	224870	1.0	1.0	2L	223519	224708	FBgn0265153	lncRNA:CR44222	FBtr0336985	lncRNA:CR44222-RA	0
2L	224533	225533	0.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	224533	225533	0.0	1.0	2L	223519	224708	FBgn0265153	lncRNA:CR44222	FBtr0336985	lncRNA:CR44222-RA	0
2L	231197	232197	1.0	0.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	231197	232197	1.0	0.0	2L	232166	232253	FBgn0263465	snoRNA:kis-a	FBtr0309764	snoRNA:kis-a-RA	0
2L	240889	241889	1.0	0.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	243178	244178	0.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	244079	245079	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	246398	247398	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	247133	248133	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	247844	248844	1.0	0.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	248790	249790	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	248790	249790	1.0	1.0	2L	248909	249812	FBgn0265149	lncRNA:CR44218	FBtr0336987	lncRNA:CR44218-RA	0
2L	249484	250484	0.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	249484	250484	0.0	1.0	2L	248909	249812	FBgn0265149	lncRNA:CR44218	FBtr0336987	lncRNA:CR44218-RA	0
2L	250199	251199	1.0	1.0	2L	210735	250823	FBgn0266557	kis	FBtr0078144	kis-RA	0
2L	250199	251199	1.0	1.0	2L	251039	252373	FBgn0283652	Rpp30	FBtr0078143	Rpp30-RA	0
2L	258782	259782	0.0	1.0	2L	252589	271744	FBgn0031238	CG3645	FBtr0078140	CG3645-RA	0
2L	259336	260336	0.0	1.0	2L	252589	271744	FBgn0031238	CG3645	FBtr0078140	CG3645-RA	0
2L	259336	260336	0.0	1.0	2L	259949	267505	FBgn0031239	CG17075	FBtr0078142	CG17075-RA	0
2L	267191	268191	1.0	1.0	2L	252589	271744	FBgn0031238	CG3645	FBtr0078140	CG3645-RA	0
2L	267191	268191	1.0	1.0	2L	259949	267505	FBgn0031239	CG17075	FBtr0078142	CG17075-RA	0
2L	271351	272351	1.0	0.0	2L	252589	271744	FBgn0031238	CG3645	FBtr0078140	CG3645-RA	0
2L	271351	272351	1.0	0.0	2L	269088	271626	FBgn0031240	CG3345	FBtr0078127	CG3345-RA	0
2L	271351	272351	1.0	0.0	2L	271912	273715	FBgn0086912	mbm	FBtr0078139	mbm-RA	0
2L	273329	274329	1.0	1.0	2L	271912	273715	FBgn0086912	mbm	FBtr0078139	mbm-RA	0
2L	273329	274329	1.0	1.0	2L	273836	274766	FBgn0086856	CG11555	FBtr0078128	CG11555-RA	0
2L	277080	278080	1.0	1.0	2L	274740	278234	FBgn0086855	CG17078	FBtr0300804	CG17078-RB	0
2L	277080	278080	1.0	1.0	2L	277582	282167	FBgn0003444	smo	FBtr0078129	smo-RA	0
2L	282769	283769	1.0	1.0	2L	281670	283269	FBgn0031244	CG11601	FBtr0078137	CG11601-RA	0
2L	282769	283769	1.0	1.0	2L	283385	291795	FBgn0031245	CG3625	FBtr0078135	CG3625-RA	0
2L	284287	285287	1.0	0.0	2L	283385	291795	FBgn0031245	CG3625	FBtr0078135	CG3625-RA	0
2L	285619	286619	1.0	1.0	2L	283385	291795	FBgn0031245	CG3625	FBtr0078135	CG3625-RA	0
2L	285619	286619	1.0	1.0	2L	286383	288292	FBgn0267996	asRNA:CR46263	FBtr0347595	asRNA:CR46263-RA	0
2L	291707	292707	1.0	1.0	2L	283385	291795	FBgn0031245	CG3625	FBtr0078135	CG3625-RA	0
2L	291707	292707	1.0	1.0	2L	292419	293222	FBgn0031247	CG11562	FBtr0078130	CG11562-RA	0
2L	294777	295777	1.0	0.0	2L	295122	297449	FBgn0024352	Stip1	FBtr0078131	Stip1-RA	0
2L	297519	298519	1.0	1.0	2L	297880	305233	FBgn0020622	Pi3K21B	FBtr0331205	Pi3K21B-RB	0
2L	299718	300718	1.0	0.0	2L	297880	305233	FBgn0020622	Pi3K21B	FBtr0331205	Pi3K21B-RB	0
2L	305591	306591	1.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	309337	310337	1.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	309337	310337	1.0	1.0	2L	308537	309348	FBgn0263872	lncRNA:CR43719	FBtr0344144	lncRNA:CR43719-RB	0
2L	314757	315757	0.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	324852	325852	1.0	0.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	324852	325852	1.0	0.0	2L	325522	329761	FBgn0264086	CG43755	FBtr0330695	CG43755-RD	0
2L	332221	333221	0.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	332221	333221	0.0	1.0	2L	329910	332335	FBgn0051921	CG31921	FBtr0078096	CG31921-RA	0
2L	336275	337275	0.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	347668	348668	1.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	354701	355701	1.0	1.0	2L	305935	355566	FBgn0004611	Plc21C	FBtr0078049	Plc21C-RC	0
2L	354701	355701	1.0	1.0	2L	355565	357874	FBgn0031250	Ent1	FBtr0078094	Ent1-RA	0
2L	354701	355701	1.0	1.0	2L	355663	356891	FBgn0266907	asRNA:CR45367	FBtr0345774	asRNA:CR45367-RA	0
2L	355873	356873	1.0	0.0	2L	355565	357874	FBgn0031250	Ent1	FBtr0078094	Ent1-RA	0
2L	355873	356873	1.0	0.0	2L	355663	356891	FBgn0266907	asRNA:CR45367	FBtr0345774	asRNA:CR45367-RA	0
2L	357102	358102	1.0	1.0	2L	355565	357874	FBgn0031250	Ent1	FBtr0078094	Ent1-RA	0
2L	357102	358102	1.0	1.0	2L	357329	358174	FBgn0266906	asRNA:CR45366	FBtr0345775	asRNA:CR45366-RA	0
2L	377447	378447	1.0	1.0	2L	378112	387439	FBgn0000061	al	FBtr0078053	al-RA	0
2L	395308	396308	0.0	1.0	2L	396120	396571	FBgn0263871	lncRNA:CR43718	FBtr0329831	lncRNA:CR43718-RA	0
2L	403649	404649	1.0	1.0	2L	404285	407969	FBgn0003278	Polr1B	FBtr0078054	Polr1B-RA	0
2L	407514	408514	1.0	0.0	2L	404285	407969	FBgn0003278	Polr1B	FBtr0078054	Polr1B-RA	0
2L	407514	408514	1.0	0.0	2L	408030	414777	FBgn0264855	AP-2alpha	FBtr0089488	AP-2alpha-RA	0
2L	412486	413486	1.0	1.0	2L	408030	414777	FBgn0264855	AP-2alpha	FBtr0089488	AP-2alpha-RA	0
2L	414256	415256	1.0	1.0	2L	408030	414777	FBgn0264855	AP-2alpha	FBtr0089488	AP-2alpha-RA	0
2L	414256	415256	1.0	1.0	2L	415067	418536	FBgn0263933	ebi	FBtr0078055	ebi-RA	0
2L	419467	420467	1.0	1.0	2L	418434	419652	FBgn0031252	CG13690	FBtr0078090	CG13690-RA	0
2L	419467	420467	1.0	1.0	2L	419952	420864	FBgn0002593	RpLP1	FBtr0078056	RpLP1-RA	0
2L	420833	421833	1.0	1.0	2L	419952	420864	FBgn0002593	RpLP1	FBtr0078056	RpLP1-RA	0
2L	420833	421833	1.0	1.0	2L	420895	421450	FBgn0031253	CG11885	FBtr0078089	CG11885-RA	0
2L	420833	421833	1.0	1.0	2L	421771	422489	FBgn0031254	CG13692	FBtr0078057	CG13692-RA	0
2L	424990	425990	1.0	0.0	2L	422873	425321	FBgn0031255	BBS8	FBtr0078058	BBS8-RA	0
2L	426060	427060	1.0	0.0	2L	422873	425321	FBgn0031255	BBS8	FBtr0078058	BBS8-RA	-739
2L	430955	431955	1.0	1.0	2L	431227	448701	FBgn0004583	ex	FBtr0078059	ex-RA	0
2L	434138	435138	1.0	1.0	2L	431227	448701	FBgn0004583	ex	FBtr0078059	ex-RA	0
2L	435123	436123	1.0	1.0	2L	431227	448701	FBgn0004583	ex	FBtr0078059	ex-RA	0
2L	452230	453230	1.0	1.0	2L	448254	453024	FBgn0015924	crq	FBtr0078087	crq-RA	0
2L	452230	453230	1.0	1.0	2L	453108	454654	FBgn0031256	shv	FBtr0078060	shv-RA	0
2L	453780	454780	0.0	1.0	2L	453108	454654	FBgn0031256	shv	FBtr0078060	shv-RA	0
2L	453780	454780	0.0	1.0	2L	454754	455313	FBgn0262510	CR43080	FBtr0305350	CR43080-RB	0
2L	454415	455415	0.0	1.0	2L	453108	454654	FBgn0031256	shv	FBtr0078060	shv-RA	0
2L	454415	455415	0.0	1.0	2L	454754	455313	FBgn0262510	CR43080	FBtr0305350	CR43080-RB	0
2L	455227	456227	0.0	1.0	2L	454754	455313	FBgn0262510	CR43080	FBtr0305350	CR43080-RB	0
2L	455227	456227	0.0	1.0	2L	455531	458745	FBgn0031257	CG4133	FBtr0078061	CG4133-RA	0
2L	458918	459918	1.0	0.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	465075	466075	0.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	467342	468342	0.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	468714	469714	0.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	470142	471142	1.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	471054	472054	1.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	471669	472669	1.0	1.0	2L	458876	472200	FBgn0031258	CG4297	FBtr0310034	CG4297-RC	0
2L	472624	473624	1.0	1.0	2L	473013	476170	FBgn0027592	MED15	FBtr0078062	MED15-RA	0
2L	479793	480793	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	490203	491203	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	490203	491203	1.0	1.0	2L	490835	492649	FBgn0267991	lncRNA:CR46258	FBtr0347589	lncRNA:CR46258-RA	0
2L	491743	492743	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	491743	492743	1.0	1.0	2L	490835	492649	FBgn0267991	lncRNA:CR46258	FBtr0347589	lncRNA:CR46258-RA	0
2L	493863	494863	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	494938	495938	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	502291	503291	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	505011	506011	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	510252	511252	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	512782	513782	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	514180	515180	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	515423	516423	0.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	516128	517128	0.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	523015	524015	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	524265	525265	1.0	0.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	526981	527981	0.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	540287	541287	1.0	1.0	2L	476220	540560	FBgn0003963	ush	FBtr0078063	ush-RA	0
2L	540287	541287	1.0	1.0	2L	540599	542580	FBgn0010602	lwr	FBtr0078081	lwr-RA	0
2L	541909	542909	1.0	1.0	2L	540599	542580	FBgn0010602	lwr	FBtr0078081	lwr-RA	0
2L	541909	542909	1.0	1.0	2L	542786	544653	FBgn0031260	Spp	FBtr0078080	Spp-RA	0
2L	544093	545093	1.0	1.0	2L	542786	544653	FBgn0031260	Spp	FBtr0078080	Spp-RA	0
2L	544093	545093	1.0	1.0	2L	544925	552923	FBgn0005660	Ets21C	FBtr0078079	Ets21C-RA	0
2L	546854	547854	0.0	1.0	2L	544925	552923	FBgn0005660	Ets21C	FBtr0078079	Ets21C-RA	0
2L	546854	547854	0.0	1.0	2L	545129	547096	FBgn0031261	nAChRbeta3	FBtr0078064	nAChRbeta3-RA	0
2L	547680	548680	0.0	1.0	2L	544925	552923	FBgn0005660	Ets21C	FBtr0078079	Ets21C-RA	0
2L	552128	553128	1.0	1.0	2L	544925	552923	FBgn0005660	Ets21C	FBtr0078079	Ets21C-RA	0
2L	552983	553983	1.0	0.0	2L	553742	560310	FBgn0260933	rempA	FBtr0078078	rempA-RB	0
2L	559312	560312	1.0	1.0	2L	553742	560310	FBgn0260933	rempA	FBtr0078078	rempA-RB	0
2L	559312	560312	1.0	1.0	2L	559612	560523	FBgn0031263	Tspo	FBtr0078066	Tspo-RA	0
2L	563703	564703	1.0	1.0	2L	560568	563819	FBgn0031264	CG11835	FBtr0078076	CG11835-RA	0
2L	563703	564703	1.0	1.0	2L	564163	566472	FBgn0031265	CG2794	FBtr0078067	CG2794-RA	0
2L	567829	568829	1.0	1.0	2L	566366	568121	FBgn0021874	Nle	FBtr0078075	Nle-RA	0
2L	567829	568829	1.0	1.0	2L	568340	572907	FBgn0031266	Sf3b1	FBtr0078068	Sf3b1-RA	0
2L	573841	574841	1.0	1.0	2L	573033	574264	FBgn0031267	Ipk2	FBtr0078074	Ipk2-RA	0
2L	573841	574841	1.0	1.0	2L	574291	575734	FBgn0031268	cold	FBtr0078069	cold-RA	0
2L	576417	577417	1.0	0.0	2L	575711	576896	FBgn0013323	Ptth	FBtr0346726	Ptth-RG	0
2L	577053	578053	0.0	1.0	2L	577486	579549	FBgn0023489	Pph13	FBtr0078070	Pph13-RA	0
2L	584948	585948	0.0	1.0	2L	583540	594685	FBgn0010323	Gsc	FBtr0343220	Gsc-RC	0
2L	591513	592513	1.0	0.0	2L	583540	594685	FBgn0010323	Gsc	FBtr0343220	Gsc-RC	0
2L	594527	595527	0.0	1.0	2L	583540	594685	FBgn0010323	Gsc	FBtr0343220	Gsc-RC	0
2L	602233	603233	1.0	1.0	2L	602813	604430	FBgn0031270	CG13689	FBtr0078071	CG13689-RA	0
2L	619293	620293	1.0	0.0	2L	620298	621201	FBgn0040106	lectin-21Cb	FBtr0308305	lectin-21Cb-RB	5
2L	620915	621915	1.0	0.0	2L	620298	621201	FBgn0040106	lectin-21Cb	FBtr0308305	lectin-21Cb-RB	0
2L	622641	623641	1.0	0.0	2L	623107	623665	FBgn0266032	lncRNA:CR44797	FBtr0343248	lncRNA:CR44797-RA	0
2L	624050	625050	1.0	0.0	2L	623900	624323	FBgn0266033	lncRNA:CR44798	FBtr0343250	lncRNA:CR44798-RA	0
2L	624050	625050	1.0	0.0	2L	624617	625556	FBgn0040107	lectin-21Ca	FBtr0077998	lectin-21Ca-RA	0
2L	625043	626043	1.0	0.0	2L	624617	625556	FBgn0040107	lectin-21Ca	FBtr0077998	lectin-21Ca-RA	0
2L	625043	626043	1.0	0.0	2L	625652	628200	FBgn0031273	CG2839	FBtr0077999	CG2839-RA	0
2L	645337	646337	1.0	0.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	664096	665096	1.0	0.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	665272	666272	1.0	0.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	675726	676726	1.0	0.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	681733	682733	1.0	0.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	701560	702560	0.0	1.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	714738	715738	0.0	1.0	2L	640013	714983	FBgn0284247	ds	FBtr0078045	ds-RA	0
2L	714738	715738	0.0	1.0	2L	710568	715307	FBgn0266323	lncRNA:CR44988	FBtr0344054	lncRNA:CR44988-RA	0
2L	731314	732314	1.0	0.0	2L	728362	730564	FBgn0011244	Hsp60B	FBtr0078000	Hsp60B-RA	-750
2L	736158	737158	1.0	0.0	2L	737212	744395	FBgn0026438	Eaat2	FBtr0078043	Eaat2-RA	54
2L	739834	740834	1.0	1.0	2L	737212	744395	FBgn0026438	Eaat2	FBtr0078043	Eaat2-RA	0
2L	740997	741997	0.0	1.0	2L	737212	744395	FBgn0026438	Eaat2	FBtr0078043	Eaat2-RA	0
2L	743150	744150	0.0	1.0	2L	737212	744395	FBgn0026438	Eaat2	FBtr0078043	Eaat2-RA	0
2L	743980	744980	0.0	1.0	2L	737212	744395	FBgn0026438	Eaat2	FBtr0078043	Eaat2-RA	0
2L	750372	751372	0.0	1.0	2L	749945	762399	FBgn0031275	GABA-B-R3	FBtr0078001	GABA-B-R3-RA	0
2L	751633	752633	0.0	1.0	2L	749945	762399	FBgn0031275	GABA-B-R3	FBtr0078001	GABA-B-R3-RA	0
2L	777396	778396	1.0	0.0	2L	776536	776941	FBgn0040725	CG13946	FBtr0078004	CG13946-RA	-455
2L	778656	779656	1.0	0.0	2L	779173	779655	FBgn0031277	CG13947	FBtr0078005	CG13947-RA	0
2L	789672	790672	0.0	1.0	2L	786153	790798	FBgn0000442	Pkg21D	FBtr0078042	Pkg21D-RA	0
2L	811079	812079	1.0	1.0	2L	810577	811531	FBgn0051658	Nnf1b	FBtr0078008	Nnf1b-RA	0
2L	811079	812079	1.0	1.0	2L	811584	813380	FBgn0086130	Dbp21E2	FBtr0078009	Dbp21E2-RA	0
2L	815508	816508	1.0	1.0	2L	813314	815950	FBgn0031281	Saf6	FBtr0078041	Saf6-RA	0
2L	815508	816508	1.0	1.0	2L	815993	818096	FBgn0031282	Pex12	FBtr0078010	Pex12-RA	0
2L	819238	820238	1.0	1.0	2L	818079	819508	FBgn0031284	PGAP2	FBtr0078039	PGAP2-RA	0
