dmel_gene	chrom	start	end	name	strand
FBgn0261616	NC_011091.1	14036867.0	14037301.0	GE28444	-
FBgn0052719	NC_011091.1	13891994.0	13936095.0	GE17520	+
FBgn0262612	NC_011091.1	13913390.0	13913896.0	GE15724	-
FBgn0029987	NC_011091.1	13461874.0	13462528.0	GE15752	-
FBgn0030033	NC_011091.1	13031005.0	13034463.0	GE15778	-
FBgn0030033		13031023.0	13034474.0		-
FBgn0262976	NC_011091.1	13010018.0	13012350.0	GE17458	+
FBgn0052712		12987157.0	12991601.0		+
FBgn0052712		10713254.0	10713968.0		-
FBgn0262900	NC_011091.1	12484034.0	12484598.0	GE15811	-
FBgn0266050		17920986.0	17930884.0		-
FBgn0030195	NC_011091.1	18843740.0	18844942.0	GE29149	+
FBgn0052681	NC_011091.1	18844981.0	18849657.0	GE15396	-
FBgn0030290	NC_011091.1	10909579.0	10910337.0	GE15923	-
FBgn0030296	NC_011091.1	10847335.0	10849104.0	GE15933	-
FBgn0030307		10770813.0	10772262.0		+
FBgn0262686		14896003.0	14896784.0		+
FBgn0030373	NC_011091.1	1884820.0	1885851.0	GE16721	+
FBgn0052655	NC_011091.1	1731569.0	1732924.0	GE16718	+
FBgn0267163		1690950.0	1691047.0		-
FBgn0030389	NC_011091.1	6624813.0	6625436.0	GE17009	+
FBgn0030429	NC_011091.1	7026102.0	7028323.0	GE16194	-
FBgn0030441	NC_011091.1	7189842.0	7190732.0	GE17038	+
FBgn0052639	NC_011091.1	7400979.0	7401608.0	GE16167	-
FBgn0265610		7704868.0	7705569.0		-
FBgn0284233		8408039.0	8411484.0		+
FBgn0030643	NC_011091.1	9549932.0	9550459.0	GE17189	+
FBgn0030667	NC_011091.1	9778913.0	9784114.0	GE16032	-
FBgn0030667		9779359.0	9783929.0		-
FBgn0284222		15325911.0	15334767.0		-
FBgn0030807	NC_011091.1	15452046.0	15452546.0	GE15630	-
FBgn0264739	NC_011091.1	15527266.0	15527891.0	GE28721	+
FBgn0262487	NC_011091.1	15572970.0	15574301.0	GE15625	-
FBgn0030813	NC_011091.1	15584047.0	15585400.0	GE17640	+
FBgn0030832	NC_011091.1	15732926.0	15733721.0	GE15610	-
FBgn0030832		15732928.0	15733688.0		-
FBgn0287595		15936261.0	15957504.0		-
FBgn0267967	NC_011091.1	16150664.0	16153002.0	GE15583	-
FBgn0030905	NC_011091.1	16783302.0	16784428.0	GE15546	-
FBgn0030912	NC_011091.1	16842662.0	16850338.0	GE15538	-
FBgn0085357	NC_011091.1	16920947.0	16921802.0	GE28400	-
FBgn0264393	NC_011091.1	16951908.0	16952285.0	GE17729	+
FBgn0030936	NC_011091.1	17045252.0	17046733.0	GE15515	-
FBgn0030979	NC_011091.1	17556906.0	17563025.0	GE17768	+
FBgn0030979		17556923.0	17562642.0		+
FBgn0030981		17557022.0	17577886.0		+
FBgn0047095		17656652.0	17660662.0		-
FBgn0086782		11590521.0	11598698.0		+
FBgn0260871		11387698.0	11388885.0		-
FBgn0040784		11413766.0	11418639.0		+
FBgn0260867		19369207.0	19369749.0		+
FBgn0031101	NC_011091.1	19428032.0	19429185.0	GE17869	+
FBgn0031104	NC_011091.1	19488017.0	19488968.0	GE15353	-
FBgn0260870		19673260.0	19674105.0		+
FBgn0031127	NC_011091.1	19771250.0	19772276.0	GE17893	+
FBgn0031128	NC_011091.1	19773126.0	19774884.0	GE15339	-
FBgn0031130	NC_011091.1	19843339.0	19844308.0	GE15337	-
FBgn0265608		20048878.0	20061527.0		+
FBgn0031168	NC_011091.1	20295063.0	20296287.0	GE15309	-
FBgn0264086	NT_167062.1	321971.0	326028.0	GE16195	-
FBgn0264086	NT_167062.1	326116.0	328623.0	GE16184	-
FBgn0264086	NT_167063.1	5767051.0	5770046.0	GE12661	-
FBgn0031323	NT_167062.1	1179087.0	1179907.0	GE15688	-
FBgn0263320	NT_167062.1	1403632.0	1404081.0	GE28568	+
FBgn0263321	NT_167062.1	1417832.0	1418421.0	GE29199	+
FBgn0264081	NT_167062.1	2374527.0	2375430.0	GE27967	-
FBgn0264988	NT_167062.1	2413174.0	2413570.0	GE28956	+
FBgn0263322	NT_167062.1	2609971.0	2610195.0	GE27399	+
FBgn0053125	NT_167062.1	2639507.0	2643496.0	GE15058	-
FBgn0031526	NT_167062.1	3342159.0	3343158.0	GE18227	+
FBgn0085204	NT_167062.1	3383253.0	3383687.0	GE18229	+
FBgn0264363	NT_167062.1	3567377.0	3567898.0	GE28123	+
FBgn0083938	NT_167062.1	4656056.0	4657424.0	GE18300	+
FBgn0260428	NT_167062.1	4770639.0	4771330.0	GE18305	+
FBgn0031701	NT_167062.1	13866859.0	13867937.0	GE25388	-
FBgn0265785	NT_167062.1	13313083.0	13313712.0	GE27888	-
FBgn0262814	NT_167062.1	13311852.0	13312623.0	GE27451	-
FBgn0002855	NT_167062.1	13303403.0	13304352.0	GE18973	+
FBgn0031786	NT_167062.1	6749826.0	6750765.0	GE13714	-
FBgn0262877	NT_167062.1	5977984.0	5978329.0	GE28365	-
FBgn0031900	NT_167062.1	5649136.0	5652154.0	GE18367	+
FBgn0031920	NT_167062.1	5420103.0	5422313.0	GE14575	-
FBgn0261830	NT_167062.1	10774641.0	10775254.0	GE27799	-
FBgn0261831	NT_167062.1	10775735.0	10776381.0	GE27627	-
FBgn0051606	NT_167062.1	10779294.0	10779771.0	GE18736	+
FBgn0262359	NT_167062.1	10879454.0	10879965.0	GE11088	-
FBgn0032039	NT_167062.1	11034015.0	11035278.0	GE18767	+
FBgn0032065	NT_167062.1	11394818.0	11395780.0	GE18792	+
FBgn0286875	NT_167062.1	11597208.0	11597766.0	GE18808	+
FBgn0051709	NT_167062.1	12262150.0	12263145.0	GE10468	-
FBgn0051882	NT_167062.1	12309468.0	12310303.0	GE10435	-
FBgn0051710	NT_167062.1	12390153.0	12393289.0	GE10402	-
FBgn0032139	NT_167062.1	12417619.0	12419104.0	GE18864	+
FBgn0032184	NT_167062.1	12806981.0	12807493.0	GE26417	-
FBgn0032268	NT_167062.1	6976546.0	6977333.0	GE18472	+
FBgn0032311	NT_167062.1	7276384.0	7277033.0	GE18495	+
FBgn0032318	NT_167062.1	7332581.0	7338391.0	GE18496	+
FBgn0040967	NT_167062.1	7427982.0	7428570.0	GE18508	+
FBgn0032335	NT_167062.1	7466435.0	7466928.0	GE18509	+
FBgn0263087	NT_167062.1	7891044.0	7892011.0	GE27946	+
FBgn0003313	NT_167062.1	7892473.0	7893258.0	GE18526	+
FBgn0263386	NT_167062.1	7968402.0	7969099.0	GE28636	+
FBgn0267327	NT_167062.1	8013302.0	8013580.0	GE12774	-
FBgn0032370	NT_167062.1	8074364.0	8074951.0	GE12741	-
FBgn0032371	NT_167062.1	8075440.0	8076917.0	GE18533	+
FBgn0262786	NT_167062.1	8080393.0	8081016.0	GE18534	+
FBgn0259962	NT_167062.1	8173805.0	8174200.0	GE28515	-
FBgn0032385	NT_167062.1	8368889.0	8369553.0	GE18555	+
FBgn0051861	NT_167062.1	8581139.0	8581866.0	GE28333	+
FBgn0264361	NT_167062.1	8776855.0	8777025.0	GE27460	-
FBgn0032472	NT_167062.1	9565232.0	9565705.0	GE11930	-
FBgn0264546	NT_167062.1	9599739.0	9600550.0	GE28046	+
FBgn0051848	NT_167062.1	9702451.0	9703340.0	GE11765	-
FBgn0032523	NT_167062.1	9848698.0	9849580.0	GE11591	-
FBgn0264432	NT_167062.1	9850416.0	9858094.0	GE18656	+
FBgn0261992	NT_167062.1	9887586.0	9888071.0	GE18658	+
FBgn0028943	NT_167062.1	9959191.0	9959797.0	GE11547	-
FBgn0032533	NT_167062.1	10224575.0	10225218.0	GE11438	-
FBgn0261628	NT_167062.1	14014381.0	14015326.0	GE27435	-
FBgn0028430	NT_167062.1	14056822.0	14057550.0	GE25225	-
FBgn0262354	NT_167062.1	14454354.0	14454989.0	GE19030	+
FBgn0261566	NT_167062.1	14701660.0	14701993.0	GE24895	-
FBgn0261567	NT_167062.1	14849871.0	14850340.0	GE27326	+
FBgn0261568	NT_167062.1	14946372.0	14948359.0	GE29100	+
FBgn0032554	NT_167062.1	14980541.0	14981615.0	GE24798	-
FBgn0262875	NT_167062.1	20116538.0	20116850.0	GE27307	-
FBgn0028853	NT_167062.1	20044188.0	20045199.0	GE20935	-
FBgn0028850	NT_167062.1	20037220.0	20038311.0	GE19408	+
FBgn0264990	NT_167062.1	19661913.0	19662290.0	GE27536	+
FBgn0262150	NT_167062.1	19541789.0	19543000.0	GE27446	+
FBgn0028900	NT_167062.1	19514838.0	19516057.0	GE19386	+
FBgn0040984	NT_167063.1	2784231.0	2784709.0	GE13103	+
FBgn0028899	NT_167063.1	2784823.0	2791740.0	GE12823	-
FBgn0259151	NT_167063.1	2791767.0	2794913.0	GE12821	-
FBgn0265578	NT_167063.1	2794823.0	2796801.0	GE12820	-
FBgn0051815	NT_167063.1	4496406.0	4497890.0	GE18099	-
FBgn0051815	NT_167063.1	4493569.0	4496311.0	GE12749	-
FBgn0051805	NT_167063.1	4203826.0	4206040.0	GE13152	+
FBgn0262356	NT_167063.1	3470026.0	3470640.0	GE28779	-
FBgn0262876	NT_167063.1	3394190.0	3394417.0	GE28734	-
FBgn0262960	NT_167063.1	3185643.0	3187498.0	GE28711	+
FBgn0032658	NT_167063.1	3107846.0	3110292.0	GE18102	-
FBgn0261531	NC_011091.1	19643113.0	19643568.0	GE28350	+
FBgn0261531	NT_167063.1	3084344.0	3084825.0	GE27698	-
FBgn0051785	NT_167063.1	4628305.0	4630170.0	GE12745	-
FBgn0011559	NT_167063.1	4873855.0	4876152.0	GE18098	-
FBgn0261806	NT_167063.1	5252903.0	5253688.0	GE12707	-
FBgn0264362	NT_167063.1	5318042.0	5318248.0	GE28604	-
FBgn0053117	NT_167063.1	6381459.0	6381936.0	GE12623	-
FBgn0053117	NT_167063.1	6384439.0	6385043.0	GE12622	-
FBgn0042129	NT_167063.1	6435219.0	6435935.0	GE12618	-
FBgn0032851	NT_167063.1	6575075.0	6576072.0	GE12604	-
FBgn0051677	NT_167063.1	6951752.0	6952224.0	GE18093	-
FBgn0032867	NT_167063.1	6962703.0	6963716.0	GE13313	+
FBgn0032896	NT_167063.1	1886218.0	1886984.0	GE13018	+
FBgn0250867	NT_167063.1	1716115.0	1787750.0	GE13011	+
FBgn0040519	NT_167063.1	650285.0	650884.0	GE12940	-
FBgn0050432	NT_167062.1	20391563.0	20392448.0	GE19422	+
FBgn0033090	NT_167062.1	15313880.0	15315448.0	GE19069	+
FBgn0040674	NT_167062.1	15460396.0	15461013.0	GE24421	-
FBgn0033145	NT_167062.1	15745477.0	15746003.0	GE24202	-
FBgn0033164	NT_167062.1	15971709.0	15972439.0	GE29006	+
FBgn0033165	NT_167062.1	15972864.0	15973378.0	GE27845	+
FBgn0033165	NT_167062.1	15979943.0	15980428.0	GE24058	-
FBgn0262583	NT_167062.1	15973706.0	15974732.0	GE19123	+
FBgn0262948	NT_167062.1	15974876.0	15975324.0	GE28465	+
FBgn0085460	NT_167062.1	16489316.0	16492009.0	GE27795	+
FBgn0050365	NT_167062.1	16902688.0	16904690.0	GE23137	-
FBgn0033285	NT_167062.1	16911085.0	16911691.0	GE23080	-
FBgn0050355	NT_167062.1	17227055.0	17227855.0	GE22840	-
FBgn0040775	NT_167062.1	17896432.0	17896785.0	GE22357	-
FBgn0033541	NT_167063.1	2623474.0	2624400.0	GE12830	-
FBgn0262817	NT_167063.1	2169856.0	2170628.0	GE27437	-
FBgn0050033	NT_167063.1	1959088.0	1960201.0	GE12875	-
FBgn0262819	NT_167063.1	9219138.0	9219727.0	GE12383	-
FBgn0050039	NT_167063.1	9013388.0	9014096.0	GE13479	+
FBgn0085263	NT_167063.1	8561304.0	8562234.0	GE13444	+
FBgn0265429	NT_167063.1	7969141.0	7970068.0	GE12512	-
FBgn0263774	NT_167063.1	7675118.0	7678900.0	GE13367	+
FBgn0050065	NT_167063.1	7637813.0	7638533.0	GE12541	-
FBgn0262821	NT_167063.1	7591042.0	7592672.0	GE28960	-
FBgn0050484	NT_167063.1	7216437.0	7220246.0	GE12568	-
FBgn0050485	NT_167063.1	7213248.0	7216391.0	GE12569	-
FBgn0050073	NT_167063.1	10196099.0	10196991.0	GE13580	+
FBgn0085214	NT_167063.1	10198780.0	10199523.0	GE12316	-
FBgn0264540	NT_167063.1	10369476.0	10370044.0	GE27598	-
FBgn0050480	NT_167063.1	10494282.0	10497838.0	GE28298	-
FBgn0263376	NT_167063.1	10559670.0	10561181.0	GE27604	-
FBgn0262547	NT_167063.1	10823571.0	10825676.0	GE28094	-
FBgn0259966	NT_167063.1	11001756.0	11002468.0	GE28818	-
FBgn0050472	NT_167063.1	17689116.0	17690039.0	GE14155	+
FBgn0261538	NT_167063.1	17403428.0	17403931.0	GE28251	+
FBgn0034082	NT_167063.1	16936989.0	16938458.0	GE14095	+
FBgn0034144	NT_167063.1	16494268.0	16495933.0	GE11807	-
FBgn0034154	NT_167063.1	16334620.0	16335449.0	GE11814	-
FBgn0259738	NT_167063.1	16324569.0	16326103.0	GE28508	+
FBgn0264329	NT_167063.1	18643970.0	18644338.0	GE27814	-
FBgn0085219	NT_167063.1	18633380.0	18634429.0	GE28511	+
FBgn0050461	NT_167063.1	18583109.0	18584300.0	GE14228	+
FBgn0263032	NT_167063.1	18546126.0	18546579.0	GE14221	+
FBgn0263114	NT_167063.1	18545401.0	18545889.0	GE27771	+
FBgn0262563	NT_167063.1	18438184.0	18438739.0	GE14208	+
FBgn0262882	NT_167063.1	18381588.0	18381952.0	GE28631	-
FBgn0262568	NT_167063.1	18329658.0	18330343.0	GE14202	+
FBgn0050325	NT_167063.1	15414873.0	15418037.0	GE13953	+
FBgn0050114	NT_167063.1	15087773.0	15088228.0	GE11937	-
FBgn0040737	NT_167063.1	14981832.0	14981999.0	GE11949	-
FBgn0261587	NT_167063.1	14703319.0	14704351.0	GE13905	+
FBgn0265627	NT_167063.1	14626542.0	14634677.0	GE13892	+
FBgn0262102	NT_167063.1	14624496.0	14625866.0	GE11991	-
FBgn0262480	NT_167063.1	14444941.0	14445582.0	GE27852	-
FBgn0262569	NT_167063.1	14441267.0	14441549.0	GE27841	+
FBgn0263083	NT_167063.1	14266539.0	14266800.0	GE29034	-
FBgn0034413	NT_167063.1	14260202.0	14261235.0	GE13863	+
FBgn0262571	NT_167063.1	13734230.0	13734920.0	GE12064	-
FBgn0262966	NT_167063.1	13648555.0	13649129.0	GE12068	-
FBgn0034464	NT_167063.1	13621546.0	13622771.0	GE12071	-
FBgn0261580	NT_167063.1	13376615.0	13377302.0	GE28206	+
FBgn0261580	NT_167063.1	13375539.0	13376523.0	GE28506	+
FBgn0261580	NT_167063.1	13377434.0	13382802.0	GE27959	+
FBgn0050447	NT_167063.1	13374682.0	13375414.0	GE12085	-
FBgn0265834	NT_167063.1	13363907.0	13367921.0	GE28981	-
FBgn0034502	NT_167063.1	12996471.0	12998153.0	GE12103	-
FBgn0042198	NT_167063.1	12958149.0	12958763.0	GE12110	-
FBgn0050154	NT_167063.1	12775158.0	12775764.0	GE12118	-
FBgn0034512	NT_167063.1	12773415.0	12774356.0	GE12120	-
FBgn0034551	NT_167063.1	12520807.0	12521592.0	GE12142	-
FBgn0259708	NT_167063.1	11619276.0	11620211.0	GE28764	-
FBgn0259708	NT_167063.1	11618458.0	11619194.0	GE29227	-
FBgn0259708	NT_167063.1	11617661.0	11618315.0	GE28436	-
FBgn0264714	NT_167063.1	11526142.0	11526835.0	GE29067	-
FBgn0050395	NT_167063.1	11522201.0	11525245.0	GE12222	-
FBgn0263324	NT_167063.1	11340828.0	11342012.0	GE13666	+
FBgn0265046	NT_167063.1	11199759.0	11201421.0	GE28765	+
FBgn0053200	NT_167063.1	18045665.0	18046318.0	GE14181	+
FBgn0034737	NT_167063.1	15918636.0	15919381.0	GE13996	+
FBgn0262141	NT_167063.1	16016772.0	16017153.0	GE27879	+
FBgn0263707	NT_167063.1	18929434.0	18929694.0	GE29037	-
FBgn0262843	NT_167063.1	19003752.0	19004419.0	GE28419	+
FBgn0034839	NT_167063.1	19122836.0	19123477.0	GE14272	+
FBgn0034840	NT_167063.1	19134975.0	19136381.0	GE11588	-
FBgn0034867	NT_167063.1	19330270.0	19351926.0	GE11563	-
FBgn0262845	NT_167063.1	19464429.0	19464942.0	GE29042	-
FBgn0286876	NT_167063.1	19710697.0	19711593.0	GE27478	+
FBgn0034998	NT_167063.1	20121438.0	20123255.0	GE11471	-
FBgn0259968	NT_167063.1	21014268.0	21014730.0	GE27560	-
FBgn0011694	NT_167063.1	21015275.0	21015722.0	GE11382	-
FBgn0040688	NT_167064.1	72451.0	73577.0	GE21049	-
FBgn0284444	NT_167064.1	296024.0	296724.0	GE21081	+
FBgn0035239	NT_167064.1	1553986.0	1555803.0	GE21168	+
FBgn0262030	NT_167064.1	1960176.0	1960778.0	GE29229	-
FBgn0266436	NT_167064.1	8829067.0	8833361.0	GE21670	+
FBgn0263246	NT_167064.1	3792698.0	3793703.0	GE28425	+
FBgn0262544	NT_167064.1	4208470.0	4209262.0	GE21374	+
FBgn0264516	NT_167064.1	4535977.0	4536334.0	GE28276	+
FBgn0052259	NT_167064.1	4638781.0	4639624.0	GE21408	+
FBgn0047330	NT_167064.1	5444745.0	5445119.0	GE28355	-
FBgn0262985	NT_167064.1	6767366.0	6767999.0	GE21550	+
FBgn0035694	NT_167064.1	6805056.0	6805593.0	GE20493	-
FBgn0047334	NT_167064.1	6805678.0	6806602.0	GE20492	-
FBgn0250849	NT_167064.1	7560078.0	7561226.0	GE27558	-
FBgn0250849	NT_167064.1	7560082.0	7561220.0	GE20452	-
FBgn0035730	NT_167064.1	7603593.0	7604620.0	GE20450	-
FBgn0040837	NT_167064.1	7748217.0	7748971.0	GE21598	+
FBgn0053278	NT_167064.1	8048771.0	8050134.0	GE21618	+
FBgn0052368	NT_167064.1	8505769.0	8506241.0	GE21645	+
FBgn0264472	NT_167064.1	8526654.0	8527246.0	GE27717	-
FBgn0260967	NT_167064.1	8648098.0	8649019.0	GE27666	-
FBgn0260968	NT_167064.1	8649040.0	8649692.0	GE20377	-
FBgn0264478	NT_167064.1	8740983.0	8741490.0	GE28807	-
FBgn0262361	NT_167064.1	3587275.0	3587705.0	GE27343	+
FBgn0264696	NT_167064.1	3191591.0	3191877.0	GE27674	+
FBgn0085485	NT_167064.1	2561515.0	2562238.0	GE20826	-
FBgn0286833	NT_167064.1	9867986.0	9869189.0	GE28382	+
FBgn0052061	NT_167064.1	10447276.0	10448087.0	GE21745	+
FBgn0036089	NT_167064.1	10618594.0	10619429.0	GE20268	-
FBgn0262890	NT_167064.1	10777566.0	10778837.0	GE28464	+
FBgn0036178	NT_167064.1	11624142.0	11624717.0	GE20198	-
FBgn0262021	NT_167064.1	11634560.0	11634793.0	GE21829	+
FBgn0036181	NT_167064.1	11635177.0	11636372.0	GE29016	-
FBgn0264725	NT_167064.1	12071984.0	12072420.0	GE27550	+
FBgn0263647	NT_167064.1	12084247.0	12085040.0	GE21878	+
FBgn0036246	NT_167064.1	12128684.0	12129322.0	GE21879	+
FBgn0052107	NT_167064.1	12932568.0	12936038.0	GE20092	-
FBgn0052107	NT_167064.1	12926420.0	12929706.0	GE29040	-
FBgn0052107	NT_167062.1	7879554.0	7883940.0	GE28919	-
FBgn0052107	NT_167064.1	12977974.0	12980644.0	GE27931	-
FBgn0052107	NT_167064.1	12977124.0	12977971.0	GE20088	-
FBgn0036320	NT_167064.1	12936833.0	12937738.0	GE20091	-
FBgn0052115	NT_167064.1	12989070.0	12991529.0	GE18003	-
FBgn0287423	NT_167064.1	13445568.0	13446310.0	GE21963	+
FBgn0036390	NT_167064.1	14053514.0	14054011.0	GE20042	-
FBgn0036393	NT_167064.1	14067335.0	14067869.0	GE21990	+
FBgn0262581	NT_167064.1	14754257.0	14754812.0	GE20013	-
FBgn0036438	NT_167064.1	14774357.0	14774875.0	GE22023	+
FBgn0036443	NT_167064.1	14812784.0	14813749.0	GE20008	-
FBgn0263761	NT_167064.1	15134788.0	15135087.0	GE28225	-
FBgn0263762	NT_167064.1	15136438.0	15136841.0	GE28024	-
FBgn0263762	NT_167064.1	15140090.0	15140331.0	GE28462	-
FBgn0036469	NT_167064.1	15140688.0	15141214.0	GE19984	-
FBgn0036470	NT_167064.1	15141898.0	15142663.0	GE22045	+
FBgn0028377	NW_002053002.1	124005.0	124154.0	GE23147	+
FBgn0028377	NT_167064.1	18018018.0	18018280.0	GE28690	+
FBgn0036503	NW_002053002.1	131593.0	131937.0	GE22846	-
FBgn0036503	NT_167064.1	18025577.0	18026451.0	GE19848	-
FBgn0262893	NW_002053002.1	144950.0	145146.0	GE27883	-
FBgn0262529	NT_167064.1	18190874.0	18191320.0	GE28169	+
FBgn0262530	NW_002053015.1	28560.0	29020.0	GE28775	+
FBgn0262530	NT_167064.1	18193219.0	18193620.0	GE29000	+
FBgn0004593	NW_002053015.1	34674.0	35444.0	GE22830	-
FBgn0004593	NT_167064.1	18199242.0	18200001.0	GE19821	-
FBgn0004593	NT_167064.1	18200945.0	18201340.0	GE28811	-
FBgn0004593	NW_002053015.1	36430.0	36817.0	GE28006	-
FBgn0004593	NT_167064.1	18204023.0	18204388.0	GE19819	-
FBgn0004593	NW_002053015.1	39350.0	39917.0	GE22827	-
FBgn0014848	NW_002053015.1	37271.0	37829.0	GE22828	-
FBgn0014848	NT_167064.1	18201920.0	18202346.0	GE19820	-
FBgn0036532	NT_167064.1	18354675.0	18355191.0	GE22276	+
FBgn0036532	NT_167064.1	18415937.0	18416363.0	GE22278	+
FBgn0262894	NW_002053051.1	7115.0	7524.0	GE29082	+
FBgn0262894	NW_002052979.1	1522.0	1879.0	GE27330	+
FBgn0261635	NW_002052980.1	18338.0	18738.0	GE28877	-
FBgn0261635	NT_167064.1	21897233.0	21897532.0	GE28918	+
FBgn0036654	NT_167064.1	17375498.0	17376994.0	GE19868	-
FBgn0052192	NT_167064.1	16014189.0	16015625.0	GE19938	-
FBgn0264748	NT_167064.1	15994231.0	15995616.0	GE22095	+
FBgn0264748	NT_167064.1	15991997.0	15993907.0	GE22093	+
FBgn0264748	NT_167064.1	15988790.0	15991852.0	GE22092	+
FBgn0264748	NT_167064.1	15977823.0	15982362.0	GE28029	+
FBgn0085282	NT_167064.1	15975712.0	15976372.0	GE22091	+
FBgn0085285	NT_167064.1	21618505.0	21619434.0	GE22534	+
FBgn0085285	NT_167064.1	21624951.0	21625940.0	GE22536	+
FBgn0259148	NW_002053137.1	3377.0	4609.0	GE27601	-
FBgn0259148	NT_167064.1	20628945.0	20630521.0	GE28155	+
FBgn0036923	NT_167064.1	20592455.0	20598602.0	GE19639	-
FBgn0036925	NT_167064.1	20588476.0	20590544.0	GE19640	-
FBgn0052228	NW_002053145.1	7.0	997.0	GE28613	+
FBgn0052228	NT_167064.1	20303340.0	20304627.0	GE27822	-
FBgn0086915	NW_002053175.1	2918.0	4084.0	GE22731	-
FBgn0086915	NT_167064.1	19726052.0	19727220.0	GE22375	+
FBgn0037042	NW_002053181.1	6525.0	7957.0	GE23253	+
FBgn0037042	NT_167064.1	19548096.0	19549410.0	GE19722	-
FBgn0262482	NW_002053184.1	6380.0	6764.0	GE27541	+
FBgn0262482	NT_167064.1	19468893.0	19469271.0	GE27545	-
FBgn0264566	NW_002053186.1	35971.0	36222.0	GE28435	+
FBgn0264566	NT_167064.1	19406728.0	19408486.0	GE28889	-
FBgn0053284	NT_167064.1	19405309.0	19406488.0	GE19728	-
FBgn0263841	NW_002053189.1	8933.0	9330.0	GE23261	+
FBgn0263841	NW_002052946.1	311.0	708.0	GE28622	+
FBgn0263841	NT_167064.1	19227723.0	19228125.0	GE27412	-
FBgn0261059	NW_002052940.1	12403.0	12993.0	GE28095	-
FBgn0037133	NW_002052939.1	9086.0	9431.0	GE23028	+
FBgn0037133	NT_167064.1	18752278.0	18752551.0	GE19791	-
FBgn0264487	NW_002053211.1	1752.0	2442.0	GE28823	-
FBgn0264487	NT_167064.1	18683828.0	18729768.0	GE27388	+
FBgn0263249	NW_002053226.1	29883.0	30188.0	GE27625	-
FBgn0052452	NT_167064.1	23197730.0	23199874.0	GE22633	+
FBgn0052452	NW_002056039.1	535.0	1322.0	GE27567	+
FBgn0037195	NT_167064.1	23305243.0	23306330.0	GE22639	+
FBgn0052457	NW_002054789.1	6266.0	6965.0	GE18121	-
FBgn0052457	NW_002054789.1	50761.0	66461.0	GE28637	+
FBgn0264897	NT_167065.1	913903.0	914477.0	GE25335	-
FBgn0040684	NT_167065.1	1319729.0	1321705.0	GE25310	-
FBgn0051538	NT_167065.1	1474515.0	1476653.0	GE25298	-
FBgn0085306	NW_002053276.1	4.0	1499.0	GE11150	+
FBgn0085306	NT_167065.1	1584075.0	1585775.0	GE25463	+
FBgn0040679	NT_167065.1	17730732.0	17732484.0	GE24127	-
FBgn0051560	NT_167065.1	18063858.0	18064755.0	GE10203	+
FBgn0037449	NT_167065.1	18267305.0	18268481.0	GE10225	+
FBgn0260713	NW_002053298.1	6095.0	7152.0	GE28025	+
FBgn0260713	NT_167065.1	7205356.0	7208484.0	GE28008	-
FBgn0037500	NW_002053297.1	15732.0	16532.0	GE11135	-
FBgn0037500	NT_167065.1	7152308.0	7153010.0	GE25793	+
FBgn0262362	NT_167065.1	6392210.0	6392843.0	GE27751	-
FBgn0262363	NT_167065.1	7954052.0	7954433.0	GE29254	+
FBgn0040531	NT_167065.1	8421798.0	8427384.0	GE24845	-
FBgn0259992	NT_167065.1	8542414.0	8543376.0	GE27793	-
FBgn0053325	NT_167065.1	8567512.0	8568589.0	GE18061	-
FBgn0265158	NT_167065.1	8573423.0	8573819.0	GE27847	-
