Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,Gene_ID,Distance
2L,797570,798570,0.0,1.0,2L,1198465,1199266,FBgn0031323,399896
2L,801442,802442,0.0,1.0,2L,1198465,1199266,FBgn0031323,396024
2L,803522,804522,0.0,1.0,2L,1198465,1199266,FBgn0031323,393944
2L,807684,808684,0.0,1.0,2L,1198465,1199266,FBgn0031323,389782
2L,811079,812079,1.0,1.0,2L,1198465,1199266,FBgn0031323,386387
2L,815508,816508,1.0,1.0,2L,1198465,1199266,FBgn0031323,381958
2L,819238,820238,1.0,1.0,2L,1198465,1199266,FBgn0031323,378228
2L,821261,822261,1.0,1.0,2L,1198465,1199266,FBgn0031323,376205
2L,825893,826893,1.0,1.0,2L,1198465,1199266,FBgn0031323,371573
2L,833105,834105,1.0,1.0,2L,1198465,1199266,FBgn0031323,364361
2L,837438,838438,0.0,1.0,2L,1198465,1199266,FBgn0031323,360028
2L,838979,839979,0.0,1.0,2L,1198465,1199266,FBgn0031323,358487
2L,839582,840582,1.0,1.0,2L,1198465,1199266,FBgn0031323,357884
2L,840827,841827,1.0,1.0,2L,1198465,1199266,FBgn0031323,356639
2L,844773,845773,1.0,1.0,2L,1198465,1199266,FBgn0031323,352693
2L,846226,847226,0.0,1.0,2L,1198465,1199266,FBgn0031323,351240
2L,850444,851444,1.0,1.0,2L,1198465,1199266,FBgn0031323,347022
2L,852446,853446,1.0,1.0,2L,1198465,1199266,FBgn0031323,345020
2L,854960,855960,0.0,1.0,2L,1198465,1199266,FBgn0031323,342506
2L,857217,858217,1.0,0.0,2L,1198465,1199266,FBgn0031323,340249
2L,865318,866318,1.0,1.0,2L,1198465,1199266,FBgn0031323,332148
2L,867236,868236,1.0,1.0,2L,1198465,1199266,FBgn0031323,330230
2L,869245,870245,0.0,1.0,2L,1198465,1199266,FBgn0031323,328221
2L,870016,871016,1.0,0.0,2L,1198465,1199266,FBgn0031323,327450
2L,870834,871834,1.0,1.0,2L,1198465,1199266,FBgn0031323,326632
2L,873647,874647,1.0,1.0,2L,1198465,1199266,FBgn0031323,323819
2L,876808,877808,0.0,1.0,2L,1198465,1199266,FBgn0031323,320658
2L,901031,902031,1.0,0.0,2L,1198465,1199266,FBgn0031323,296435
2L,905715,906715,0.0,1.0,2L,1198465,1199266,FBgn0031323,291751
2L,918429,919429,0.0,1.0,2L,1198465,1199266,FBgn0031323,279037
2L,921610,922610,1.0,0.0,2L,1198465,1199266,FBgn0031323,275856
2L,922380,923380,0.0,1.0,2L,1198465,1199266,FBgn0031323,275086
2L,939865,940865,0.0,1.0,2L,1198465,1199266,FBgn0031323,257601
2L,944905,945905,0.0,1.0,2L,1198465,1199266,FBgn0031323,252561
2L,949269,950269,0.0,1.0,2L,1198465,1199266,FBgn0031323,248197
2L,958612,959612,0.0,1.0,2L,1198465,1199266,FBgn0031323,238854
2L,960410,961410,0.0,1.0,2L,1198465,1199266,FBgn0031323,237056
2L,961644,962644,0.0,1.0,2L,1198465,1199266,FBgn0031323,235822
2L,963090,964090,0.0,1.0,2L,1198465,1199266,FBgn0031323,234376
2L,974578,975578,0.0,1.0,2L,1198465,1199266,FBgn0031323,222888
2L,991376,992376,0.0,1.0,2L,1198465,1199266,FBgn0031323,206090
2L,993700,994700,1.0,0.0,2L,1198465,1199266,FBgn0031323,203766
2L,1006225,1007225,1.0,1.0,2L,1198465,1199266,FBgn0031323,191241
2L,1007266,1008266,1.0,1.0,2L,1198465,1199266,FBgn0031323,190200
2L,1017898,1018898,0.0,1.0,2L,1198465,1199266,FBgn0031323,179568
2L,1019244,1020244,0.0,1.0,2L,1198465,1199266,FBgn0031323,178222
2L,1020613,1021613,0.0,1.0,2L,1198465,1199266,FBgn0031323,176853
2L,1021425,1022425,0.0,1.0,2L,1198465,1199266,FBgn0031323,176041
2L,1022653,1023653,0.0,1.0,2L,1198465,1199266,FBgn0031323,174813
2L,1023300,1024300,0.0,1.0,2L,1198465,1199266,FBgn0031323,174166
2L,1030649,1031649,1.0,0.0,2L,1198465,1199266,FBgn0031323,166817
2L,1031558,1032558,0.0,1.0,2L,1198465,1199266,FBgn0031323,165908
2L,1036593,1037593,1.0,0.0,2L,1198465,1199266,FBgn0031323,160873
2L,1042837,1043837,1.0,1.0,2L,1198465,1199266,FBgn0031323,154629
2L,1046796,1047796,0.0,1.0,2L,1198465,1199266,FBgn0031323,150670
2L,1047561,1048561,0.0,1.0,2L,1198465,1199266,FBgn0031323,149905
2L,1048577,1049577,0.0,1.0,2L,1198465,1199266,FBgn0031323,148889
2L,1049164,1050164,1.0,0.0,2L,1198465,1199266,FBgn0031323,148302
2L,1049964,1050964,1.0,0.0,2L,1198465,1199266,FBgn0031323,147502
2L,1056163,1057163,0.0,1.0,2L,1198465,1199266,FBgn0031323,141303
2L,1057225,1058225,0.0,1.0,2L,1198465,1199266,FBgn0031323,140241
2L,1059571,1060571,0.0,1.0,2L,1198465,1199266,FBgn0031323,137895
2L,1064325,1065325,0.0,1.0,2L,1198465,1199266,FBgn0031323,133141
2L,1067663,1068663,1.0,0.0,2L,1198465,1199266,FBgn0031323,129803
2L,1070326,1071326,1.0,0.0,2L,1198465,1199266,FBgn0031323,127140
2L,1073832,1074832,1.0,0.0,2L,1198465,1199266,FBgn0031323,123634
2L,1075400,1076400,1.0,0.0,2L,1198465,1199266,FBgn0031323,122066
2L,1077106,1078106,1.0,1.0,2L,1198465,1199266,FBgn0031323,120360
2L,1080563,1081563,1.0,1.0,2L,1198465,1199266,FBgn0031323,116903
2L,1082447,1083447,1.0,1.0,2L,1198465,1199266,FBgn0031323,115019
2L,1086191,1087191,0.0,1.0,2L,1198465,1199266,FBgn0031323,111275
2L,1087319,1088319,0.0,1.0,2L,1198465,1199266,FBgn0031323,110147
2L,1089236,1090236,0.0,1.0,2L,1198465,1199266,FBgn0031323,108230
2L,1095358,1096358,0.0,1.0,2L,1198465,1199266,FBgn0031323,102108
2L,1096320,1097320,1.0,1.0,2L,1198465,1199266,FBgn0031323,101146
2L,1101898,1102898,1.0,1.0,2L,1198465,1199266,FBgn0031323,95568
2L,1107741,1108741,1.0,1.0,2L,1198465,1199266,FBgn0031323,89725
2L,1112409,1113409,0.0,1.0,2L,1198465,1199266,FBgn0031323,85057
2L,1116631,1117631,1.0,1.0,2L,1198465,1199266,FBgn0031323,80835
2L,1117738,1118738,1.0,0.0,2L,1198465,1199266,FBgn0031323,79728
2L,1118838,1119838,1.0,1.0,2L,1198465,1199266,FBgn0031323,78628
2L,1120295,1121295,0.0,1.0,2L,1198465,1199266,FBgn0031323,77171
2L,1124126,1125126,1.0,0.0,2L,1198465,1199266,FBgn0031323,73340
2L,1125093,1126093,1.0,1.0,2L,1198465,1199266,FBgn0031323,72373
2L,1125812,1126812,1.0,1.0,2L,1198465,1199266,FBgn0031323,71654
2L,1128566,1129566,1.0,1.0,2L,1198465,1199266,FBgn0031323,68900
2L,1134283,1135283,0.0,1.0,2L,1198465,1199266,FBgn0031323,63183
2L,1136105,1137105,1.0,1.0,2L,1198465,1199266,FBgn0031323,61361
2L,1142427,1143427,1.0,1.0,2L,1198465,1199266,FBgn0031323,55039
2L,1147389,1148389,1.0,1.0,2L,1198465,1199266,FBgn0031323,50077
2L,1150306,1151306,1.0,1.0,2L,1198465,1199266,FBgn0031323,47160
2L,1155674,1156674,0.0,1.0,2L,1198465,1199266,FBgn0031323,41792
2L,1157559,1158559,1.0,1.0,2L,1198465,1199266,FBgn0031323,39907
2L,1163410,1164410,0.0,1.0,2L,1198465,1199266,FBgn0031323,34056
2L,1164038,1165038,1.0,1.0,2L,1198465,1199266,FBgn0031323,33428
2L,1166086,1167086,1.0,1.0,2L,1198465,1199266,FBgn0031323,31380
2L,1169445,1170445,1.0,1.0,2L,1198465,1199266,FBgn0031323,28021
2L,1172387,1173387,1.0,1.0,2L,1198465,1199266,FBgn0031323,25079
2L,1177404,1178404,1.0,1.0,2L,1198465,1199266,FBgn0031323,20062
2L,1178579,1179579,1.0,0.0,2L,1198465,1199266,FBgn0031323,18887
2L,1183546,1184546,1.0,1.0,2L,1198465,1199266,FBgn0031323,13920
2L,1185670,1186670,1.0,1.0,2L,1198465,1199266,FBgn0031323,11796
2L,1198069,1199069,1.0,0.0,2L,1198465,1199266,FBgn0031323,0
2L,1206994,1207994,0.0,1.0,2L,1199412,1199924,FBgn0263080,-7071
2L,1216683,1217683,0.0,1.0,2L,1199412,1199924,FBgn0263080,-16760
2L,1217584,1218584,1.0,0.0,2L,1199412,1199924,FBgn0263080,-17661
2L,1235781,1236781,0.0,1.0,2L,1199412,1199924,FBgn0263080,-35858
2L,1236318,1237318,0.0,1.0,2L,1199412,1199924,FBgn0263080,-36395
2L,1239207,1240207,0.0,1.0,2L,1199412,1199924,FBgn0263080,-39284
2L,1253258,1254258,0.0,1.0,2L,1199412,1199924,FBgn0263080,-53335
2L,1255716,1256716,0.0,1.0,2L,1199412,1199924,FBgn0263080,-55793
2L,1256640,1257640,0.0,1.0,2L,1199412,1199924,FBgn0263080,-56717
2L,1263611,1264611,0.0,1.0,2L,1199412,1199924,FBgn0263080,-63688
2L,1265787,1266787,0.0,1.0,2L,1199412,1199924,FBgn0263080,-65864
2L,1273155,1274155,0.0,1.0,2L,1199412,1199924,FBgn0263080,-73232
2L,1280659,1281659,0.0,1.0,2L,1199412,1199924,FBgn0263080,-80736
2L,1304147,1305147,0.0,1.0,2L,1199412,1199924,FBgn0263080,-104224
2L,1311933,1312933,0.0,1.0,2L,1199412,1199924,FBgn0263080,-112010
2L,1332789,1333789,0.0,1.0,2L,1428474,1429159,FBgn0263320,94686
2L,1335812,1336812,0.0,1.0,2L,1428474,1429159,FBgn0263320,91663
2L,1339374,1340374,1.0,0.0,2L,1428474,1429159,FBgn0263320,88101
2L,1342238,1343238,1.0,0.0,2L,1428474,1429159,FBgn0263320,85237
2L,1345657,1346657,0.0,1.0,2L,1428474,1429159,FBgn0263320,81818
2L,1349293,1350293,0.0,1.0,2L,1428474,1429159,FBgn0263320,78182
2L,1359413,1360413,1.0,0.0,2L,1428474,1429159,FBgn0263320,68062
2L,1360434,1361434,1.0,0.0,2L,1428474,1429159,FBgn0263320,67041
2L,1361231,1362231,1.0,1.0,2L,1428474,1429159,FBgn0263320,66244
2L,1361942,1362942,0.0,1.0,2L,1428474,1429159,FBgn0263320,65533
2L,1385827,1386827,0.0,1.0,2L,1428474,1429159,FBgn0263320,41648
2L,1388722,1389722,0.0,1.0,2L,1428474,1429159,FBgn0263320,38753
2L,1397889,1398889,0.0,1.0,2L,1428474,1429159,FBgn0263320,29586
2L,1399117,1400117,1.0,0.0,2L,1428474,1429159,FBgn0263320,28358
2L,1400013,1401013,1.0,0.0,2L,1428474,1429159,FBgn0263320,27462
2L,1408928,1409928,0.0,1.0,2L,1428474,1429159,FBgn0263320,18547
2L,1413989,1414989,1.0,0.0,2L,1428474,1429159,FBgn0263320,13486
2L,1419971,1420971,1.0,1.0,2L,1428474,1429159,FBgn0263320,7504
2L,1425514,1426514,1.0,1.0,2L,1428474,1429159,FBgn0263320,1961
2L,1434612,1435612,1.0,0.0,2L,1428474,1429159,FBgn0263320,-5454
2L,1437166,1438166,0.0,1.0,2L,1442627,1443832,FBgn0263321,4462
2L,1448271,1449271,1.0,0.0,2L,1442627,1443832,FBgn0263321,-4440
2L,1449720,1450720,1.0,0.0,2L,1442627,1443832,FBgn0263321,-5889
2L,1456238,1457238,0.0,1.0,2L,1442627,1443832,FBgn0263321,-12407
2L,1460406,1461406,0.0,1.0,2L,1442627,1443832,FBgn0263321,-16575
2L,1461375,1462375,1.0,0.0,2L,1442627,1443832,FBgn0263321,-17544
2L,1476819,1477819,0.0,1.0,2L,1442627,1443832,FBgn0263321,-32988
2L,1488995,1489995,0.0,1.0,2L,1442627,1443832,FBgn0263321,-45164
2L,1491765,1492765,0.0,1.0,2L,1442627,1443832,FBgn0263321,-47934
2L,1499985,1500985,1.0,0.0,2L,1442627,1443832,FBgn0263321,-56154
2L,1502275,1503275,1.0,1.0,2L,1442627,1443832,FBgn0263321,-58444
2L,1534194,1535194,0.0,1.0,2L,1442627,1443832,FBgn0263321,-90363
2L,1536339,1537339,0.0,1.0,2L,1442627,1443832,FBgn0263321,-92508
2L,1537526,1538526,0.0,1.0,2L,1442627,1443832,FBgn0263321,-93695
2L,1538522,1539522,0.0,1.0,2L,1442627,1443832,FBgn0263321,-94691
2L,1554594,1555594,1.0,1.0,2L,1442627,1443832,FBgn0263321,-110763
2L,1556325,1557325,0.0,1.0,2L,1442627,1443832,FBgn0263321,-112494
2L,1572305,1573305,1.0,0.0,2L,1442627,1443832,FBgn0263321,-128474
2L,1573334,1574334,0.0,1.0,2L,1442627,1443832,FBgn0263321,-129503
2L,1574030,1575030,0.0,1.0,2L,1442627,1443832,FBgn0263321,-130199
2L,1575168,1576168,0.0,1.0,2L,1442627,1443832,FBgn0263321,-131337
2L,1576487,1577487,0.0,1.0,2L,1442627,1443832,FBgn0263321,-132656
2L,1596443,1597443,0.0,1.0,2L,1442627,1443832,FBgn0263321,-152612
2L,1606833,1607833,0.0,1.0,2L,1442627,1443832,FBgn0263321,-163002
2L,1610779,1611779,1.0,1.0,2L,1442627,1443832,FBgn0263321,-166948
2L,1613550,1614550,1.0,1.0,2L,1442627,1443832,FBgn0263321,-169719
2L,1617278,1618278,0.0,1.0,2L,1442627,1443832,FBgn0263321,-173447
2L,1618345,1619345,0.0,1.0,2L,1442627,1443832,FBgn0263321,-174514
2L,1624502,1625502,0.0,1.0,2L,1442627,1443832,FBgn0263321,-180671
2L,1625183,1626183,0.0,1.0,2L,1442627,1443832,FBgn0263321,-181352
2L,1632614,1633614,1.0,1.0,2L,1442627,1443832,FBgn0263321,-188783
2L,1643196,1644196,0.0,1.0,2L,1442627,1443832,FBgn0263321,-199365
2L,1644087,1645087,1.0,1.0,2L,1442627,1443832,FBgn0263321,-200256
2L,1648458,1649458,1.0,1.0,2L,1442627,1443832,FBgn0263321,-204627
2L,1649389,1650389,1.0,1.0,2L,1442627,1443832,FBgn0263321,-205558
2L,1650925,1651925,1.0,1.0,2L,1442627,1443832,FBgn0263321,-207094
2L,1656702,1657702,1.0,1.0,2L,1442627,1443832,FBgn0263321,-212871
2L,1662721,1663721,0.0,1.0,2L,1442627,1443832,FBgn0263321,-218890
2L,1668297,1669297,1.0,0.0,2L,1442627,1443832,FBgn0263321,-224466
2L,1669253,1670253,1.0,1.0,2L,1442627,1443832,FBgn0263321,-225422
2L,1671530,1672530,0.0,1.0,2L,1442627,1443832,FBgn0263321,-227699
2L,1672001,1673001,0.0,1.0,2L,1442627,1443832,FBgn0263321,-228170
2L,1693315,1694315,0.0,1.0,2L,1442627,1443832,FBgn0263321,-249484
