Chromosome,Start,End,label_head,label_testis,Nearest_Chromosome,Nearest_Start,Nearest_End,dmel_denovo_gene,dyak_ortho_gene,Strand,Distance
2L,227000,228000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-93972
2L,233903,234903,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-87069
2L,235000,236000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-85972
2L,242831,243831,1.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-78141
2L,250000,251000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-70972
2L,258000,259000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-62972
2L,289205,290205,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-31767
2L,296000,297000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,-24972
2L,300444,301444,1.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-20528
2L,312225,313225,0.0,1.0,2L,321971,326028,FBgn0264086,GE16195,-,-8747
2L,323000,324000,0.0,0.0,2L,321971,326028,FBgn0264086,GE16195,-,0
2L,327000,328000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,0
2L,333547,334547,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,4925
2L,335799,336799,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,7177
2L,340000,341000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,11378
2L,351000,352000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,22378
2L,363567,364567,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,34945
2L,386000,387000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,57378
2L,389889,390889,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,61267
2L,392000,393000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,63378
2L,392734,393734,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,64112
2L,398063,399063,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,69441
2L,400000,401000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,71378
2L,405138,406138,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,76516
2L,413000,414000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,84378
2L,417031,418031,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,88409
2L,433000,434000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,104378
2L,435000,436000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,106378
2L,439805,440805,1.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,111183
2L,441000,442000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,112378
2L,444000,445000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,115378
2L,445000,446000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,116378
2L,453333,454333,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,124711
2L,458000,459000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,129378
2L,469000,470000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,140378
2L,472028,473028,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,143406
2L,485000,486000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,156378
2L,487000,488000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,158378
2L,495003,496003,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,166381
2L,512000,513000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,183378
2L,516000,517000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,187378
2L,518000,519000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,189378
2L,525000,526000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,196378
2L,531453,532453,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,202831
2L,539000,540000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,210378
2L,541157,542157,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,212535
2L,547602,548602,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,218980
2L,555000,556000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,226378
2L,562244,563244,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,233622
2L,576000,577000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,247378
2L,583111,584111,1.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,254489
2L,590000,591000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,261378
2L,594000,595000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,265378
2L,601000,602000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,272378
2L,602000,603000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,273378
2L,606000,607000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,277378
2L,608000,609000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,279378
2L,615000,616000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,286378
2L,620000,621000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,291378
2L,621000,622000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,292378
2L,628000,629000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,299378
2L,639000,640000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,310378
2L,650346,651346,0.0,1.0,2L,326116,328623,FBgn0264086,GE16184,-,321724
2L,663000,664000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,334378
2L,670000,671000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,341378
2L,676000,677000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,347378
2L,689000,690000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,360378
2L,708000,709000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,379378
2L,715000,716000,0.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,386378
2L,726282,727282,1.0,0.0,2L,326116,328623,FBgn0264086,GE16184,-,397660
2L,757082,758082,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-421006
2L,769000,770000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-409088
2L,775000,776000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-403088
2L,790000,791000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-388088
2L,791115,792115,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-386973
2L,802813,803813,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-375275
2L,807000,808000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-371088
2L,823223,824223,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-354865
2L,828413,829413,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-349675
2L,834301,835301,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-343787
2L,840000,841000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-338088
2L,840803,841803,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-337285
2L,847000,848000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-331088
2L,851640,852640,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-326448
2L,855316,856316,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-322772
2L,864000,865000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-314088
2L,869102,870102,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-308986
2L,870000,871000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-308088
2L,886105,887105,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-291983
2L,894000,895000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-284088
2L,907000,908000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-271088
2L,920000,921000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-258088
2L,922000,923000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-256088
2L,927151,928151,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-250937
2L,942000,943000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-236088
2L,945000,946000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-233088
2L,952000,953000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-226088
2L,953000,954000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-225088
2L,968000,969000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-210088
2L,979000,980000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-199088
2L,982807,983807,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-195281
2L,989000,990000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-189088
2L,990000,991000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-188088
2L,1003000,1004000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-175088
2L,1016000,1017000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-162088
2L,1018671,1019671,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-159417
2L,1042317,1043317,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-135771
2L,1045000,1046000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-133088
2L,1051759,1052759,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-126329
2L,1072981,1073981,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-105107
2L,1078000,1079000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-100088
2L,1089818,1090818,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-88270
2L,1106933,1107933,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-71155
2L,1111973,1112973,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-66115
2L,1114665,1115665,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-63423
2L,1117000,1118000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-61088
2L,1128000,1129000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-50088
2L,1134499,1135499,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-43589
2L,1140000,1141000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-38088
2L,1142000,1143000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-36088
2L,1145372,1146372,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-32716
2L,1150272,1151272,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-27816
2L,1154000,1155000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-24088
2L,1157250,1158250,1.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-20838
2L,1169000,1170000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-9088
2L,1177000,1178000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-1088
2L,1178000,1179000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,-88
2L,1184000,1185000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,4094
2L,1192000,1193000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,12094
2L,1194000,1195000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,14094
2L,1198722,1199722,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,18816
2L,1203739,1204739,0.0,1.0,2L,1179087,1179907,FBgn0031323,GE15688,-,23833
2L,1210625,1211625,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,30719
2L,1212000,1213000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,32094
2L,1226000,1227000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,46094
2L,1237000,1238000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,57094
2L,1245246,1246246,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,65340
2L,1264000,1265000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,84094
2L,1266000,1267000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,86094
2L,1270000,1271000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,90094
2L,1271000,1272000,0.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,91094
2L,1287121,1288121,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,107215
2L,1290424,1291424,1.0,0.0,2L,1179087,1179907,FBgn0031323,GE15688,-,110518
2L,1296000,1297000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-106633
2L,1303000,1304000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-99633
2L,1304000,1305000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-98633
2L,1329000,1330000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-73633
2L,1330000,1331000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-72633
2L,1331000,1332000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-71633
2L,1338000,1339000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-64633
2L,1342000,1343000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-60633
2L,1344000,1345000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-58633
2L,1351000,1352000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-51633
2L,1355000,1356000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-47633
2L,1357000,1358000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-45633
2L,1373501,1374501,1.0,1.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-29132
2L,1378000,1379000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-24633
2L,1383000,1384000,0.0,0.0,2L,1403632,1404081,FBgn0263320,GE28568,+,-19633
2L,1421000,1422000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,2580
2L,1428201,1429201,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,9781
2L,1452000,1453000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,33580
2L,1453000,1454000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,34580
2L,1472000,1473000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,53580
2L,1480000,1481000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,61580
2L,1483000,1484000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,64580
2L,1485000,1486000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,66580
2L,1495000,1496000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,76580
2L,1505000,1506000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,86580
2L,1515000,1516000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,96580
2L,1519362,1520362,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,100942
2L,1525000,1526000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,106580
2L,1538774,1539774,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,120354
2L,1545757,1546757,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,127337
2L,1562000,1563000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,143580
2L,1578142,1579142,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,159722
2L,1579173,1580173,0.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,160753
2L,1584113,1585113,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,165693
2L,1590000,1591000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,171580
2L,1596000,1597000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,177580
2L,1607366,1608366,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,188946
2L,1624715,1625715,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,206295
2L,1634000,1635000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,215580
2L,1647072,1648072,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,228652
2L,1657000,1658000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,238580
2L,1661000,1662000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,242580
2L,1670000,1671000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,251580
2L,1675224,1676224,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,256804
2L,1689000,1690000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,270580
2L,1694563,1695563,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,276143
2L,1722410,1723410,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,303990
2L,1731581,1732581,1.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,313161
2L,1736000,1737000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,317580
2L,1741000,1742000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,322580
2L,1750000,1751000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,331580
2L,1751000,1752000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,332580
2L,1752000,1753000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,333580
2L,1753000,1754000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,334580
2L,1759000,1760000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,340580
2L,1761000,1762000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,342580
2L,1829000,1830000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,410580
2L,1833671,1834671,1.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,415251
2L,1843000,1844000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,424580
2L,1847000,1848000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,428580
2L,1858000,1859000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,439580
2L,1864351,1865351,1.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,445931
2L,1874000,1875000,0.0,0.0,2L,1417832,1418421,FBgn0263321,GE29199,+,455580
2L,1888994,1889994,1.0,1.0,2L,1417832,1418421,FBgn0263321,GE29199,+,470574
2L,1901000,1902000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-472528
2L,1903000,1904000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-470528
2L,1905862,1906862,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-467666
2L,1920000,1921000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-453528
2L,1924576,1925576,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-448952
2L,1925236,1926236,0.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-448292
2L,1937363,1938363,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-436165
2L,1947000,1948000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-426528
2L,1955333,1956333,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-418195
2L,1968672,1969672,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-404856
2L,1970000,1971000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-403528
2L,1971000,1972000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-402528
2L,1988000,1989000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-385528
2L,1996100,1997100,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-377428
2L,1997000,1998000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-376528
2L,1998663,1999663,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-374865
2L,2001000,2002000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-372528
2L,2010000,2011000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-363528
2L,2012000,2013000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-361528
2L,2013000,2014000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-360528
2L,2026000,2027000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-347528
2L,2040000,2041000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-333528
2L,2049000,2050000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-324528
2L,2051000,2052000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-322528
2L,2059000,2060000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-314528
2L,2065000,2066000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-308528
2L,2066000,2067000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-307528
2L,2070000,2071000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-303528
2L,2071000,2072000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-302528
2L,2079688,2080688,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-293840
2L,2081683,2082683,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-291845
2L,2093000,2094000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-280528
2L,2100000,2101000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-273528
2L,2104042,2105042,0.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-269486
2L,2107000,2108000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-266528
2L,2108000,2109000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-265528
2L,2112000,2113000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-261528
2L,2128000,2129000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-245528
2L,2131000,2132000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-242528
2L,2132672,2133672,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-240856
2L,2138000,2139000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-235528
2L,2145000,2146000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-228528
2L,2147000,2148000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-226528
2L,2149105,2150105,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-224423
2L,2162191,2163191,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-211337
2L,2164000,2165000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-209528
2L,2165000,2166000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-208528
2L,2172864,2173864,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-200664
2L,2175450,2176450,0.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-198078
2L,2194200,2195200,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-179328
2L,2200908,2201908,1.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-172620
2L,2208000,2209000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-165528
2L,2217000,2218000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-156528
2L,2230000,2231000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-143528
2L,2231000,2232000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-142528
2L,2243897,2244897,0.0,1.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-129631
2L,2254000,2255000,0.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-119528
2L,2260542,2261542,1.0,0.0,2L,2374527,2375430,FBgn0264081,GE27967,-,-112986
